DEPT;SP;RHOZ;PEFZ;AT90;DTCO;Zones
1866.5;-11.09459496;2.479514122;3.063145876;6.781816959;95.10860443;3
1867;-10.68642235;2.405136347;3.065525055;6.00479269;95.41594696;3
1867.5;-9.323942184;2.457003593;3.023320913;4.440310955;95.53765869;3
1868;-9.111750603;2.505207062;3.009081125;2.50523901;92.88333893;3
1868.5;-9.585343361;2.510987043;2.961007357;2.473181963;88.40142822;3
1869;-13.29988098;2.499218941;2.931362152;2.81689024;83.79899597;3
1869.5;-29.05946922;2.369702101;2.660332441;9.383385658;81.82543182;3
1870;-34.74856567;2.300157785;2.273398399;6.689842701;82.33272553;3
1870.5;-39.01286697;2.304676771;2.289220333;4.74201107;82.01543427;3
1871;-40.10063171;2.325814724;2.32177949;4.158189297;81.60402679;3
1871.5;-39.02384567;2.327669382;2.314274788;4.129969597;81.17866516;3
1872;-36.32268143;2.337604284;2.346846581;4.778375626;81.43228912;3
1872.5;-30.96192551;2.330242395;2.314819813;4.844035149;80.29957581;3
1873;-24.97215843;2.3565557;2.516545057;5.424569607;102.8842697;3
1873.5;-11.53903484;2.423183918;2.92980361;5.217172146;109.7150345;3
1874;-7.505913258;2.362311125;2.802091837;1.603381753;102.3061981;3
1874.5;-7.813906193;2.487274408;2.957424879;2.62978816;87.18305206;3
1875;-10.29575539;2.481882334;3.163538694;2.923820734;86.98189545;3
1875.5;-8.742551804;2.500627995;2.950285435;2.855520964;86.16999817;3
1876;-8.854094505;2.508538485;2.85594964;2.485567331;86.48778534;3
1876.5;-23.39871025;2.413691521;2.743248701;3.901604414;85.29508972;3
1877;-27.68778229;2.330048084;2.501786232;5.544834137;84.99305725;3
1877.5;-30.60461426;2.275847673;2.330854178;6.790730476;85.14820862;3
1878;-29.79196358;2.303918362;2.465824366;4.257143021;83.91979218;3
1878.5;-24.98081207;2.333330393;2.779241324;4.189536095;85.00209808;3
1879;-13.1479454;2.384787798;3.042729139;2.458458662;118.4546204;3
1879.5;-8.837304115;2.306360245;2.741747141;1.615156889;114.2326508;3
1880;-8.513360023;2.338840008;2.741773367;5.075167179;110.7647324;3
