DEPTH,GR,SP,RES,zonas,VSH_Linear,VSH_Clavier,VSH_Resistividad,VSH_Promedio
2033.0,91.91,-0.43,1.33,Zona 4,0.9841553022285385,0.9626934708172589,1.0,0.9822829243485991
2034.0,81.01,-3.08,3.09,Zona 4,0.3249674941791907,0.17374915696140203,0.6190249366078803,0.37258052924949103
2035.0,79.43,-5.45,5.69,Zona 4,0.22941549998488156,0.11375070421202294,0.2598514820310536,0.20100589540931937
2036.0,87.82,-0.66,2.18,Zona 4,0.7368086843458012,0.5530122910037403,0.8242473180947774,0.7046894311481062
2037.0,90.62,0.28,2.34,Zona 4,0.9061413322850841,0.805399518932895,0.7825811322753735,0.8313739944977842
2038.0,84.95,-0.78,2.22,Zona 4,0.5632427202080376,0.36425383031004066,0.813550860250907,0.5803491369229951
2039.0,86.44,0.2,2.13,Zona 4,0.6533518792900124,0.4556372350386757,0.8378973266185931,0.648962146982427
2040.0,88.31,0.02,2.05,Zona 4,0.7664418977351761,0.5911500730185102,0.8604183148904703,0.7393367618813856
2041.0,90.81,0.0,1.84,Zona 4,0.9176317619666781,0.8263481913962629,0.9239971878224331,0.889325713728458
2042.0,82.81,-2.25,3.31,Zona 4,0.4338241964258719,0.2527810491846003,0.5785641278880583,0.42172312449951016
2043.0,81.66,-2.53,3.48,Zona 4,0.36427685887938066,0.20089534466274195,0.5491002014833025,0.37142413500847504
2044.0,84.83,-20.57,5.75,Zona 4,0.5559856067249253,0.3574277838046025,0.2536805620817349,0.3890313175370876
2045.0,89.29,-11.92,3.98,Zona 4,0.8257083245139252,0.674225118016184,0.4701226858206008,0.6566853761169034
2046.0,87.36,-11.07,4.53,Zona 4,0.7089897493272053,0.5190055519644221,0.39397449027552267,0.54065659718905
2047.0,85.23,-0.36,3.21,Zona 4,0.5801759850019659,0.3804737791827528,0.596611217146858,0.5190869937771923
2048.0,82.04,-23.94,6.65,Zona 4,0.38725771824256955,0.2174782787014684,0.16813334438899338,0.25762311377767716
2049.0,82.45,-16.01,6.74,Zona 4,0.4120528559765356,0.2359855036529077,0.16022493437636356,0.26942109800193564
2050.0,81.8,-11.27,6.08,Zona 4,0.3727434912763448,0.20694226437011531,0.220851189309481,0.26684564831864704
2051.0,81.59,-13.99,6.58,Zona 4,0.360043542680899,0.19789890898763773,0.17435868263299997,0.24410037810051222
2052.0,78.19,-6.21,4.91,Zona 4,0.15442532732605604,0.07213103720730585,0.34658663545777685,0.1910476666637129
2053.0,90.06,-0.42,2.19,Zona 4,0.8722748026972275,0.7471348758594455,0.8215549153435023,0.8136548646333918
2054.0,84.55,-2.01,2.79,Zona 4,0.5390523419309969,0.34178451858502523,0.6791065925122804,0.5199811510094342
2055.0,84.07,-9.3,4.36,Zona 4,0.5100238879985484,0.3158604873522046,0.41647647420328154,0.4141202831846782
2056.0,86.68,-6.26,3.64,Zona 4,0.6678661062562371,0.4716098684231458,0.5226557956243868,0.5540439234345899
2057.0,90.3,-26.63,6.64,Zona 4,0.8867890296634514,0.771506286860421,0.16901865527736976,0.6091046572670807
2058.0,90.72,-0.54,2.03,Zona 4,0.9121889268543438,0.816344601030334,0.8661859000513619,0.86490647597868
2059.0,91.15,-1.22,2.43,Zona 4,0.9381935835021625,0.8655410237930545,0.7603789134365472,0.8547045069105881
2060.0,94.45,-1.62,2.1,Zona 4,1.0,0.9999999999999998,0.8462419909888503,0.9487473303296167
2061.0,91.0,-2.19,1.62,Zona 4,0.929122191648272,0.8479666176263218,0.9989095660004927,0.9253327917583621
2062.0,90.69,-0.41,1.89,Zona 4,0.9103746484835658,0.8130425649889211,0.9082244206770563,0.8772138780498477
2063.0,89.76,0.12,2.25,Zona 4,0.8541320189894475,0.7178219776681093,0.8056542453876856,0.7925360806817473
2064.0,86.07,-1.18,2.05,Zona 4,0.6309757793837498,0.431732096639744,0.8604183148904703,0.641042063637988
2065.0,92.94,-0.35,1.84,Zona 4,1.0,0.9999999999999998,0.9239971878224331,0.9746657292741444
2066.0,75.64,-3.4,4.46,Zona 4,0.00021166580992425395,8.717192213336666e-05,0.4031360165186705,0.1344782847502427
2067.0,68.54,-21.58,15.4,Zona 4,0.0,0.0,0.0,0.0
2068.0,84.89,-33.24,13.32,Zona 4,0.5596141634664814,0.36083154189077593,0.0,0.30681523511908576
2069.0,87.1,-30.43,11.12,Zona 4,0.6932660034471287,0.5004960009910489,0.0,0.3979206681460592
2070.0,85.85,-24.83,11.15,Zona 4,0.6176710713313778,0.4179146097952682,0.0,0.34519522704221534
2071.0,86.18,-29.97,13.77,Zona 4,0.6376281334099367,0.43875023222588916,0.0,0.3587927885452753
2072.0,79.57,-6.9,4.23,Zona 4,0.23788213238184483,0.11874192310082288,0.4342840192839865,0.2636360249222181
