DEPTH,GR,SP,RES,zonas
2183.0,76.36,-11.73,3.9,Zona 4
2184.0,81.65,0.07,2.82,Zona 4
2185.0,81.19,-3.6,2.9,Zona 4
2186.0,77.35,-23.17,8.66,Zona 4
2187.0,64.19,-21.36,73.55,Zona 4
2188.0,64.22,-6.67,6.97,Zona 4
2189.0,80.92,-3.21,3.42,Zona 4
2190.0,76.58,-3.19,4.19,Zona 4
2191.0,82.8,0.0,2.61,Zona 4
2192.0,81.24,-4.89,5.11,Zona 4
2193.0,96.93,-9.37,4.63,Zona 4
2194.0,80.15,0.0,4.5,Zona 4
2195.0,81.36,-8.31,4.38,Zona 4
2196.0,75.48,-2.33,6.88,Zona 4
2197.0,75.77,-19.0,12.21,Zona 4
2198.0,78.46,1.08,4.77,Zona 4
2199.0,77.96,-8.07,4.84,Zona 4
